Node 1	Node 2	Weight
2-methylnaphthalene	isophorone	1
2-methylnaphthalene	carbazole	1
2-methylnaphthalene	1,4-dichlorobenzene	1
2-methylnaphthalene	atrazine	1
2-methylnaphthalene	phenol	1
2-methylnaphthalene	fluoranthene	1
2-methylnaphthalene	pyrene	1
2-methylnaphthalene	chlorpyrifos	1
2-methylnaphthalene	bisphenol a	1
2-methylnaphthalene	metolachlor	1
2-methylnaphthalene	naphthalene	1
2-methylnaphthalene	prometon	1
2-methylnaphthalene	bromacil	1
2-methylnaphthalene	diazinon	1
isophorone	bisphenol a	1
isophorone	naphthalene	1
isophorone	bromacil	1
isophorone	metolachlor	1
isophorone	diazinon	1
isophorone	carbazole	1
isophorone	1,4-dichlorobenzene	1
isophorone	atrazine	1
isophorone	phenol	1
isophorone	fluoranthene	1
isophorone	pyrene	1
isophorone	chlorpyrifos	1
isophorone	prometon	1
carbazole	bisphenol a	1
carbazole	naphthalene	1
carbazole	bromacil	1
carbazole	metolachlor	1
carbazole	diazinon	1
carbazole	1,4-dichlorobenzene	1
carbazole	phenol	1
carbazole	fluoranthene	1
carbazole	chlorpyrifos	1
carbazole	prometon	1
carbazole	atrazine	1
carbazole	pyrene	1
1,4-dichlorobenzene	bisphenol a	1
1,4-dichlorobenzene	naphthalene	1
1,4-dichlorobenzene	bromacil	1
1,4-dichlorobenzene	metolachlor	1
1,4-dichlorobenzene	diazinon	1
1,4-dichlorobenzene	atrazine	1
1,4-dichlorobenzene	phenol	1
1,4-dichlorobenzene	fluoranthene	1
1,4-dichlorobenzene	pyrene	1
1,4-dichlorobenzene	chlorpyrifos	1
1,4-dichlorobenzene	prometon	1
atrazine	bisphenol a	1
atrazine	naphthalene	1
atrazine	bromacil	1
atrazine	metolachlor	1
atrazine	diazinon	1
atrazine	phenol	1
atrazine	fluoranthene	1
atrazine	chlorpyrifos	1
atrazine	chromium	3
atrazine	prometon	1
atrazine	pyrene	1
atrazine	dieldrin	3
phenol	bisphenol a	1
phenol	naphthalene	1
phenol	bromacil	1
phenol	metolachlor	1
phenol	diazinon	1
phenol	fluoranthene	1
phenol	pyrene	1
phenol	chlorpyrifos	1
phenol	prometon	1
